Date first seen          Duration Proto      Src IP Addr:Port          Dst IP Addr:Port     Flags Tos  Packets    Bytes      pps      bps    Bpp Flows
2022-05-02 01:20:17.379    24.398 UDP      173.194.128.9:443   ->         10.0.0.1:51534 ........   0     5253    7.2 M      215    2.4 M   1375     1
2022-05-02 01:21:21.180    50.948 UDP      173.194.128.9:443   ->         10.0.0.1:44258 ........   0     9918   13.7 M      194    2.1 M   1377     1
2022-05-02 01:06:46.150    23.946 UDP      173.194.128.9:443   ->         10.0.0.1:39471 ........   0     4648    6.4 M      194    2.1 M   1378     1
2022-05-02 01:00:42.755     0.122 UDP     197.226.227.80:443   ->         10.0.0.1:56884 ........   0       30    26902      245    1.8 M    896     1
2022-05-02 00:59:00.528    42.600 UDP      173.194.128.9:443   ->         10.0.0.1:60529 ........   0     6663    9.2 M      156    1.7 M   1377     1
2022-05-02 01:29:07.223     0.042 UDP           10.0.0.1:33266 ->   197.226.227.80:443   ........   0       18     8938      428    1.7 M    496     1
2022-05-02 01:13:10.899    53.446 UDP     197.226.227.80:443   ->         10.0.0.1:37761 ........   0     8157   11.3 M      152    1.7 M   1379     1
2022-05-02 01:02:16.198    30.600 UDP     197.226.227.80:443   ->         10.0.0.1:56884 ........   0     4526    6.3 M      147    1.6 M   1381     1
2022-05-02 01:21:43.272     0.002 TCP    192.168.209.130:52412 ->     52.85.218.46:443   ........   0        6      394     3000    1.6 M     65     1
2022-05-02 01:17:14.644    31.630 UDP     197.226.227.80:443   ->         10.0.0.1:37761 ........   0     4334    6.0 M      137    1.5 M   1378     1
2022-05-02 01:19:46.653    30.126 UDP     197.226.227.80:443   ->         10.0.0.1:37761 ........   0     3968    5.5 M      131    1.4 M   1375     1
2022-05-02 01:09:45.238    32.812 UDP      173.194.128.9:443   ->         10.0.0.1:39471 ........   0     4246    5.9 M      129    1.4 M   1380     1
2022-05-02 01:54:13.509     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
2022-05-02 01:10:51.877     0.002 UDP      192.168.209.1:5353  ->      224.0.0.251:5353  ........   0        4      344     2000    1.4 M     86     1
